date,workerid,amount
Mon May 14 09:35:51 PDT 2018,A3J85WP15JFYW0,1.0
Mon May 14 09:38:11 PDT 2018,A30UE6DWFNUCWX,1.0
Mon May 14 09:39:38 PDT 2018,A2M72F8KER9L71,1.0
Mon May 14 09:40:00 PDT 2018,A2LU259QPV1I4V,1.0
Mon May 14 09:41:19 PDT 2018,A1UKAS30R0MFI6,1.0
Mon May 14 09:42:36 PDT 2018,A1H72Y9Z5NJXDS,1.0
Mon May 14 09:43:35 PDT 2018,A2ADEPVGNNXNPA,1.0
Mon May 14 09:44:04 PDT 2018,A3H32595TVJ34Q,1.0
Mon May 14 09:44:48 PDT 2018,A23A1WMFNPETYQ,1.0
Mon May 14 09:45:01 PDT 2018,A26M997VYVK0E6,1.0
Mon May 14 09:48:53 PDT 2018,A16SAB417Y96G4,1.0
Mon May 14 09:49:27 PDT 2018,A3POD149IG0DIW,1.0
Mon May 14 09:49:32 PDT 2018,A3L8LSM7V7KX3T,1.0
Mon May 14 09:49:39 PDT 2018,A34SUZWGLXIWM8,1.0
Mon May 14 09:51:01 PDT 2018,A3JZV48TDCGHHC,1.0
Mon May 14 09:51:17 PDT 2018,A2CF2BD4Q0ZDJN,1.0
Mon May 14 09:51:44 PDT 2018,A2YKW761AK4ZGY,1.0
Mon May 14 09:54:41 PDT 2018,A25FH7PXC446RG,1.0
Mon May 14 10:16:36 PDT 2018,ABL3H3O3BI8ZD,1.0
Mon May 14 10:23:27 PDT 2018,A32TGAK321JDFF,1.0
,total paid to workers:,=SUM(c2:c21)
,40% paid to Amazon:,=.4*c22
,total:,=SUM(c22:c23
